ResultsFK,Time,CustomColumnID_OutboundFlight_PaxCount
1,44013.375,361
1,44013.37847222222,444
1,44013.381944444445,444
1,44013.385416666664,444
1,44013.38888888889,444
1,44013.39236111111,489
1,44013.395833333336,461
1,44013.399305555555,383
1,44013.40277777778,383
1,44013.40625,383
1,44013.40972222222,527
1,44013.413194444445,653
1,44013.416666666664,434
1,44013.42013888889,351
1,44013.42361111111,351
1,44013.427083333336,458
1,44013.430555555555,458
1,44013.43402777778,484
1,44013.4375,786
1,44013.44097222222,786
1,44013.444444444445,786
1,44013.447916666664,786
1,44013.45138888889,606
1,44013.45486111111,480
1,44013.458333333336,480
1,44013.461805555555,480
1,44013.46527777778,480
1,44013.46875,373
1,44013.47222222222,373
1,44013.475694444445,302
1,44013.479166666664,0
1,44013.48263888889,0
1,44013.48611111111,0
1,44013.489583333336,0
1,44013.493055555555,0
1,44013.49652777778,86
1,44013.5,86
1,44013.50347222222,133
1,44013.506944444445,165
1,44013.510416666664,329
1,44013.51388888889,329
1,44013.51736111111,384
1,44013.520833333336,517
1,44013.524305555555,517
1,44013.52777777778,576
1,44013.53125,576
1,44013.53472222222,576
1,44013.538194444445,490
1,44013.541666666664,490
1,44013.54513888889,443
1,44013.54861111111,411
1,44013.552083333336,247
1,44013.555555555555,295
1,44013.55902777778,284
1,44013.5625,151
1,44013.56597222222,263
1,44013.569444444445,204
1,44013.572916666664,428
1,44013.57638888889,590
1,44013.57986111111,738
1,44013.583333333336,1084
1,44013.586805555555,1084
1,44013.59027777778,1084
1,44013.59375,1170
1,44013.59722222222,1122
1,44013.600694444445,1240
1,44013.604166666664,1240
1,44013.60763888889,1128
1,44013.61111111111,1128
1,44013.614583333336,904
1,44013.618055555555,742
1,44013.62152777778,783
1,44013.625,437
1,44013.62847222222,437
1,44013.631944444445,437
1,44013.635416666664,421
1,44013.63888888889,421
1,44013.64236111111,305
1,44013.645833333336,305
1,44013.649305555555,305
1,44013.65277777778,305
1,44013.65625,305
1,44013.65972222222,305
1,44013.663194444445,239
1,44013.666666666664,300
1,44013.67013888889,469
1,44013.67361111111,625
1,44013.677083333336,555
1,44013.680555555555,555
1,44013.68402777778,509
1,44013.6875,651
1,44013.69097222222,678
1,44013.694444444445,678
1,44013.697916666664,678
1,44013.70138888889,678
1,44013.70486111111,555
1,44013.708333333336,530
1,44013.711805555555,361
1,44013.71527777778,205
1,44013.71875,309
1,44013.72222222222,309
1,44013.725694444445,309
1,44013.729166666664,250
1,44013.73263888889,366
1,44013.73611111111,435
1,44013.739583333336,435
1,44013.743055555555,435
1,44013.74652777778,683
1,44013.75,647
1,44013.75347222222,797
1,44013.756944444445,921
1,44013.760416666664,817
1,44013.76388888889,910
1,44013.76736111111,910
1,44013.770833333336,827
1,44013.774305555555,684
1,44013.77777777778,903
1,44013.78125,903
1,44013.78472222222,903
1,44013.788194444445,655
1,44013.791666666664,1010
1,44013.79513888889,860
1,44013.79861111111,736
1,44013.802083333336,805
1,44013.805555555555,712
1,44013.80902777778,712
1,44013.8125,753
1,44013.81597222222,753
1,44013.819444444445,465
1,44013.822916666664,465
1,44013.82638888889,576
1,44013.82986111111,834
1,44013.833333333336,489
1,44013.836805555555,489
1,44013.84027777778,489
1,44013.84375,440
1,44013.84722222222,440
1,44013.850694444445,440
1,44013.854166666664,399
1,44013.85763888889,399
1,44013.86111111111,399
1,44013.864583333336,399
1,44013.868055555555,288
1,44013.87152777778,30
1,44013.875,20
1,44013.87847222222,20
1,44013.881944444445,20
