ResultsFK,Time,TStartWait_QueueReferenceEndTime,_ImmigrationType
1,44013.319444444445,,Normal
1,44013.319444444445,,Automatic
1,44013.322916666664,,Normal
1,44013.322916666664,,Automatic
1,44013.32638888889,,Normal
1,44013.32638888889,,Automatic
1,44013.32986111111,,Normal
1,44013.32986111111,,Automatic
1,44013.333333333336,,Normal
1,44013.333333333336,,Automatic
1,44013.336805555555,,Normal
1,44013.336805555555,,Automatic
1,44013.34027777778,,Normal
1,44013.34027777778,,Automatic
1,44013.34375,,Normal
1,44013.34375,,Automatic
1,44013.34722222222,,Normal
1,44013.34722222222,,Automatic
1,44013.350694444445,,Normal
1,44013.350694444445,,Automatic
1,44013.354166666664,,Normal
1,44013.354166666664,,Automatic
1,44013.35763888889,,Normal
1,44013.35763888889,,Automatic
1,44013.36111111111,,Normal
1,44013.36111111111,,Automatic
1,44013.364583333336,,Normal
1,44013.364583333336,,Automatic
1,44013.368055555555,,Normal
1,44013.368055555555,,Automatic
1,44013.37152777778,,Normal
1,44013.37152777778,,Automatic
1,44013.375,,Normal
1,44013.375,,Automatic
1,44013.37847222222,,Normal
1,44013.37847222222,,Automatic
1,44013.381944444445,,Normal
1,44013.381944444445,,Automatic
1,44013.385416666664,,Normal
1,44013.385416666664,,Automatic
1,44013.38888888889,,Normal
1,44013.38888888889,,Automatic
1,44013.39236111111,,Normal
1,44013.39236111111,,Automatic
1,44013.395833333336,,Normal
1,44013.395833333336,,Automatic
1,44013.399305555555,,Normal
1,44013.399305555555,,Automatic
1,44013.40277777778,,Normal
1,44013.40277777778,,Automatic
1,44013.40625,,Normal
1,44013.40625,,Automatic
1,44013.40972222222,,Normal
1,44013.40972222222,,Automatic
1,44013.413194444445,,Normal
1,44013.413194444445,,Automatic
1,44013.416666666664,,Normal
1,44013.416666666664,,Automatic
1,44013.42013888889,,Normal
1,44013.42013888889,,Automatic
1,44013.42361111111,,Normal
1,44013.42361111111,,Automatic
1,44013.427083333336,,Normal
1,44013.427083333336,,Automatic
1,44013.430555555555,,Normal
1,44013.430555555555,,Automatic
1,44013.43402777778,,Normal
1,44013.43402777778,,Automatic
1,44013.4375,,Normal
1,44013.4375,,Automatic
1,44013.44097222222,,Normal
1,44013.44097222222,,Automatic
1,44013.444444444445,,Normal
1,44013.444444444445,,Automatic
1,44013.447916666664,,Normal
1,44013.447916666664,,Automatic
1,44013.45138888889,,Normal
1,44013.45138888889,,Automatic
1,44013.45486111111,,Normal
1,44013.45486111111,,Automatic
1,44013.458333333336,,Normal
1,44013.458333333336,,Automatic
1,44013.461805555555,,Normal
1,44013.461805555555,,Automatic
1,44013.46527777778,,Normal
1,44013.46527777778,,Automatic
1,44013.46875,,Normal
1,44013.46875,,Automatic
1,44013.47222222222,,Normal
1,44013.47222222222,,Automatic
1,44013.475694444445,,Normal
1,44013.475694444445,,Automatic
1,44013.479166666664,,Normal
1,44013.479166666664,,Automatic
1,44013.48263888889,,Normal
1,44013.48263888889,,Automatic
1,44013.48611111111,,Normal
1,44013.48611111111,,Automatic
1,44013.489583333336,,Normal
1,44013.489583333336,,Automatic
1,44013.493055555555,,Normal
1,44013.493055555555,,Automatic
1,44013.49652777778,,Normal
1,44013.49652777778,,Automatic
1,44013.5,,Normal
1,44013.5,,Automatic
1,44013.50347222222,,Normal
1,44013.50347222222,,Automatic
1,44013.506944444445,,Normal
1,44013.506944444445,,Automatic
1,44013.510416666664,,Normal
1,44013.510416666664,,Automatic
1,44013.51388888889,,Normal
1,44013.51388888889,,Automatic
1,44013.51736111111,,Normal
1,44013.51736111111,,Automatic
1,44013.520833333336,,Normal
1,44013.520833333336,,Automatic
1,44013.524305555555,,Normal
1,44013.524305555555,,Automatic
1,44013.52777777778,,Normal
1,44013.52777777778,,Automatic
1,44013.53125,,Normal
1,44013.53125,,Automatic
1,44013.53472222222,,Normal
1,44013.53472222222,,Automatic
1,44013.538194444445,,Normal
1,44013.538194444445,,Automatic
1,44013.541666666664,,Normal
1,44013.541666666664,,Automatic
1,44013.54513888889,,Normal
1,44013.54513888889,,Automatic
1,44013.54861111111,,Normal
1,44013.54861111111,,Automatic
1,44013.552083333336,,Normal
1,44013.552083333336,,Automatic
1,44013.555555555555,,Normal
1,44013.555555555555,,Automatic
1,44013.55902777778,,Normal
1,44013.55902777778,,Automatic
1,44013.5625,,Normal
1,44013.5625,,Automatic
1,44013.56597222222,,Normal
1,44013.56597222222,,Automatic
1,44013.569444444445,111.0,Normal
1,44013.569444444445,23.0,Automatic
1,44013.572916666664,81.0,Normal
1,44013.572916666664,,Automatic
1,44013.57638888889,49.0,Normal
1,44013.57638888889,,Automatic
1,44013.57986111111,15.0,Normal
1,44013.57986111111,,Automatic
1,44013.583333333336,61.0,Normal
1,44013.583333333336,17.0,Automatic
1,44013.586805555555,196.0,Normal
1,44013.586805555555,31.0,Automatic
1,44013.59027777778,145.0,Normal
1,44013.59027777778,8.0,Automatic
1,44013.59375,88.0,Normal
1,44013.59375,,Automatic
1,44013.59722222222,35.0,Normal
1,44013.59722222222,,Automatic
1,44013.600694444445,91.0,Normal
1,44013.600694444445,19.0,Automatic
1,44013.604166666664,41.0,Normal
1,44013.604166666664,,Automatic
1,44013.60763888889,,Normal
1,44013.60763888889,,Automatic
1,44013.61111111111,,Normal
1,44013.61111111111,,Automatic
1,44013.614583333336,148.0,Normal
1,44013.614583333336,34.0,Automatic
1,44013.618055555555,108.0,Normal
1,44013.618055555555,10.0,Automatic
1,44013.62152777778,65.0,Normal
1,44013.62152777778,,Automatic
1,44013.625,20.0,Normal
1,44013.625,,Automatic
1,44013.62847222222,,Normal
1,44013.62847222222,,Automatic
1,44013.631944444445,,Normal
1,44013.631944444445,,Automatic
1,44013.635416666664,,Normal
1,44013.635416666664,,Automatic
1,44013.63888888889,,Normal
1,44013.63888888889,,Automatic
1,44013.64236111111,,Normal
1,44013.64236111111,,Automatic
1,44013.645833333336,,Normal
1,44013.645833333336,,Automatic
1,44013.649305555555,,Normal
1,44013.649305555555,,Automatic
1,44013.65277777778,,Normal
1,44013.65277777778,,Automatic
1,44013.65625,,Normal
1,44013.65625,,Automatic
1,44013.65972222222,,Normal
1,44013.65972222222,,Automatic
1,44013.663194444445,,Normal
1,44013.663194444445,,Automatic
1,44013.666666666664,,Normal
1,44013.666666666664,,Automatic
1,44013.67013888889,95.0,Normal
1,44013.67013888889,19.0,Automatic
1,44013.67361111111,70.0,Normal
1,44013.67361111111,8.0,Automatic
1,44013.677083333336,45.0,Normal
1,44013.677083333336,,Automatic
1,44013.680555555555,15.0,Normal
1,44013.680555555555,,Automatic
1,44013.68402777778,,Normal
1,44013.68402777778,,Automatic
1,44013.6875,,Normal
1,44013.6875,,Automatic
1,44013.69097222222,,Normal
1,44013.69097222222,,Automatic
1,44013.694444444445,,Normal
1,44013.694444444445,,Automatic
1,44013.697916666664,,Normal
1,44013.697916666664,,Automatic
1,44013.70138888889,,Normal
1,44013.70138888889,,Automatic
1,44013.70486111111,,Normal
1,44013.70486111111,,Automatic
1,44013.708333333336,,Normal
1,44013.708333333336,,Automatic
1,44013.711805555555,,Normal
1,44013.711805555555,,Automatic
1,44013.71527777778,,Normal
1,44013.71527777778,,Automatic
1,44013.71875,,Normal
1,44013.71875,,Automatic
1,44013.72222222222,,Normal
1,44013.72222222222,,Automatic
1,44013.725694444445,,Normal
1,44013.725694444445,,Automatic
1,44013.729166666664,,Normal
1,44013.729166666664,,Automatic
1,44013.73263888889,,Normal
1,44013.73263888889,,Automatic
1,44013.73611111111,,Normal
1,44013.73611111111,,Automatic
1,44013.739583333336,,Normal
1,44013.739583333336,,Automatic
1,44013.743055555555,110.0,Normal
1,44013.743055555555,24.0,Automatic
1,44013.74652777778,80.0,Normal
1,44013.74652777778,,Automatic
1,44013.75,49.0,Normal
1,44013.75,,Automatic
1,44013.75347222222,14.0,Normal
1,44013.75347222222,,Automatic
1,44013.756944444445,,Normal
1,44013.756944444445,,Automatic
1,44013.760416666664,,Normal
1,44013.760416666664,,Automatic
1,44013.76388888889,,Normal
1,44013.76388888889,,Automatic
1,44013.76736111111,,Normal
1,44013.76736111111,,Automatic
1,44013.770833333336,,Normal
1,44013.770833333336,,Automatic
1,44013.774305555555,,Normal
1,44013.774305555555,,Automatic
1,44013.77777777778,,Normal
1,44013.77777777778,,Automatic
1,44013.78125,,Normal
1,44013.78125,,Automatic
1,44013.78472222222,,Normal
1,44013.78472222222,,Automatic
1,44013.788194444445,,Normal
1,44013.788194444445,,Automatic
1,44013.791666666664,,Normal
1,44013.791666666664,,Automatic
1,44013.79513888889,,Normal
1,44013.79513888889,,Automatic
1,44013.79861111111,,Normal
1,44013.79861111111,,Automatic
1,44013.802083333336,,Normal
1,44013.802083333336,,Automatic
1,44013.805555555555,,Normal
1,44013.805555555555,,Automatic
1,44013.80902777778,,Normal
1,44013.80902777778,,Automatic
1,44013.8125,,Normal
1,44013.8125,,Automatic
1,44013.81597222222,,Normal
1,44013.81597222222,,Automatic
1,44013.819444444445,,Normal
1,44013.819444444445,,Automatic
1,44013.822916666664,,Normal
1,44013.822916666664,,Automatic
1,44013.82638888889,72.0,Normal
1,44013.82638888889,12.0,Automatic
1,44013.82986111111,52.0,Normal
1,44013.82986111111,1.0,Automatic
1,44013.833333333336,32.0,Normal
1,44013.833333333336,,Automatic
1,44013.836805555555,9.0,Normal
1,44013.836805555555,,Automatic
1,44013.84027777778,,Normal
1,44013.84027777778,,Automatic
1,44013.84375,,Normal
1,44013.84375,,Automatic
1,44013.84722222222,,Normal
1,44013.84722222222,,Automatic
1,44013.850694444445,,Normal
1,44013.850694444445,,Automatic
1,44013.854166666664,,Normal
1,44013.854166666664,,Automatic
1,44013.85763888889,,Normal
1,44013.85763888889,,Automatic
1,44013.86111111111,,Normal
1,44013.86111111111,,Automatic
1,44013.864583333336,,Normal
1,44013.864583333336,,Automatic
1,44013.868055555555,,Normal
1,44013.868055555555,,Automatic
1,44013.87152777778,,Normal
1,44013.87152777778,,Automatic
1,44013.875,,Normal
1,44013.875,,Automatic
1,44013.87847222222,,Normal
1,44013.87847222222,,Automatic
1,44013.881944444445,,Normal
1,44013.881944444445,,Automatic
1,44013.885416666664,,Normal
1,44013.885416666664,,Automatic
1,44013.88888888889,,Normal
1,44013.88888888889,,Automatic
1,44013.89236111111,,Normal
1,44013.89236111111,,Automatic
1,44013.895833333336,,Normal
1,44013.895833333336,,Automatic
1,44013.899305555555,,Normal
1,44013.899305555555,,Automatic
1,44013.90277777778,,Normal
1,44013.90277777778,,Automatic
1,44013.90625,,Normal
1,44013.90625,,Automatic
1,44013.90972222222,,Normal
1,44013.90972222222,,Automatic
1,44013.913194444445,,Normal
1,44013.913194444445,,Automatic
1,44013.916666666664,,Normal
1,44013.916666666664,,Automatic
1,44013.92013888889,,Normal
1,44013.92013888889,,Automatic
1,44013.92361111111,,Normal
1,44013.92361111111,,Automatic
1,44013.927083333336,,Normal
1,44013.927083333336,,Automatic
1,44013.930555555555,,Normal
1,44013.930555555555,,Automatic
1,44013.93402777778,,Normal
1,44013.93402777778,,Automatic
1,44013.9375,,Normal
1,44013.9375,,Automatic
1,44013.94097222222,93.0,Normal
1,44013.94097222222,27.0,Automatic
1,44013.944444444445,68.0,Normal
1,44013.944444444445,3.0,Automatic
1,44013.947916666664,42.0,Normal
1,44013.947916666664,,Automatic
1,44013.95138888889,13.0,Normal
1,44013.95138888889,,Automatic
