ResultsFK,Time,SIBT
1,44013.375,5
1,44013.37847222222,6
1,44013.381944444445,6
1,44013.385416666664,8
1,44013.38888888889,7
1,44013.39236111111,8
1,44013.395833333336,8
1,44013.399305555555,8
1,44013.40277777778,10
1,44013.40625,10
1,44013.40972222222,9
1,44013.413194444445,9
1,44013.416666666664,9
1,44013.42013888889,8
1,44013.42361111111,7
1,44013.427083333336,5
1,44013.430555555555,7
1,44013.43402777778,6
1,44013.4375,5
1,44013.44097222222,5
1,44013.444444444445,3
1,44013.447916666664,3
1,44013.45138888889,3
1,44013.45486111111,2
1,44013.458333333336,2
1,44013.461805555555,3
1,44013.46527777778,3
1,44013.46875,4
1,44013.47222222222,3
1,44013.475694444445,3
1,44013.479166666664,3
1,44013.48263888889,3
1,44013.48611111111,4
1,44013.489583333336,4
1,44013.493055555555,4
1,44013.49652777778,4
1,44013.5,5
1,44013.50347222222,5
1,44013.506944444445,5
1,44013.510416666664,5
1,44013.51388888889,4
1,44013.51736111111,4
1,44013.520833333336,4
1,44013.524305555555,4
1,44013.52777777778,3
1,44013.53125,4
1,44013.53472222222,4
1,44013.538194444445,5
1,44013.541666666664,5
1,44013.54513888889,6
1,44013.54861111111,7
1,44013.552083333336,7
1,44013.555555555555,7
1,44013.55902777778,8
1,44013.5625,9
1,44013.56597222222,9
1,44013.569444444445,9
1,44013.572916666664,9
1,44013.57638888889,10
1,44013.57986111111,9
1,44013.583333333336,9
1,44013.586805555555,7
1,44013.59027777778,6
1,44013.59375,5
1,44013.59722222222,5
1,44013.600694444445,4
1,44013.604166666664,3
1,44013.60763888889,3
1,44013.61111111111,3
1,44013.614583333336,2
1,44013.618055555555,3
1,44013.62152777778,3
1,44013.625,2
1,44013.62847222222,2
1,44013.631944444445,3
1,44013.635416666664,3
1,44013.63888888889,3
1,44013.64236111111,4
1,44013.645833333336,5
1,44013.649305555555,5
1,44013.65277777778,5
1,44013.65625,6
1,44013.65972222222,4
1,44013.663194444445,4
1,44013.666666666664,5
1,44013.67013888889,5
1,44013.67361111111,5
1,44013.677083333336,6
1,44013.680555555555,6
1,44013.68402777778,5
1,44013.6875,5
1,44013.69097222222,5
1,44013.694444444445,5
1,44013.697916666664,4
1,44013.70138888889,4
1,44013.70486111111,7
1,44013.708333333336,6
1,44013.711805555555,6
1,44013.71527777778,6
1,44013.71875,5
1,44013.72222222222,7
1,44013.725694444445,7
1,44013.729166666664,8
1,44013.73263888889,9
1,44013.73611111111,9
1,44013.739583333336,9
1,44013.743055555555,12
1,44013.74652777778,9
1,44013.75,9
1,44013.75347222222,9
1,44013.756944444445,9
1,44013.760416666664,9
1,44013.76388888889,7
1,44013.76736111111,7
1,44013.770833333336,7
1,44013.774305555555,6
1,44013.77777777778,6
1,44013.78125,6
1,44013.78472222222,3
1,44013.788194444445,6
1,44013.791666666664,6
1,44013.79513888889,7
1,44013.79861111111,6
1,44013.802083333336,7
1,44013.805555555555,7
1,44013.80902777778,9
1,44013.8125,8
1,44013.81597222222,8
1,44013.819444444445,8
1,44013.822916666664,8
1,44013.82638888889,8
1,44013.82986111111,5
1,44013.833333333336,5
1,44013.836805555555,4
1,44013.84027777778,4
1,44013.84375,3
1,44013.84722222222,5
1,44013.850694444445,3
1,44013.854166666664,2
1,44013.85763888889,2
1,44013.86111111111,2
1,44013.864583333336,2
1,44013.868055555555,2
1,44013.87152777778,2
1,44013.875,3
1,44013.87847222222,4
1,44013.881944444445,5
1,44013.885416666664,8
1,44013.88888888889,7
1,44013.89236111111,9
1,44013.895833333336,9
1,44013.899305555555,10
1,44013.90277777778,11
1,44013.90625,13
1,44013.90972222222,13
1,44013.913194444445,13
1,44013.916666666664,12
1,44013.92013888889,12
1,44013.92361111111,11
1,44013.927083333336,8
1,44013.930555555555,8
1,44013.93402777778,6
1,44013.9375,6
1,44013.94097222222,5
1,44013.944444444445,4
1,44013.947916666664,3
1,44013.95138888889,3
1,44013.95486111111,4
1,44013.958333333336,4
1,44013.961805555555,3
1,44013.96527777778,3
1,44013.96875,3
1,44013.97222222222,2
1,44013.975694444445,2
1,44013.979166666664,2
1,44013.98263888889,2
1,44013.98611111111,2
1,44013.989583333336,1
1,44013.993055555555,1
